iter	Passed	Remaining
0	60	60267
1	61	30454
2	61	20584
3	62	15566
4	64	12760
5	66	11045
6	67	9591
7	68	8463
8	68	7588
9	69	6891
10	70	6338
11	71	5922
12	72	5512
13	73	5163
14	73	4852
15	74	4590
16	75	4375
17	81	4461
18	82	4258
19	83	4074
20	84	3933
21	85	3795
22	86	3667
23	87	3541
24	88	3436
25	89	3347
26	89	3241
27	91	3182
28	92	3093
29	93	3028
30	101	3160
31	101	3073
32	102	2995
33	102	2918
34	103	2845
35	103	2778
36	104	2714
37	104	2656
38	106	2620
39	107	2580
40	108	2534
41	108	2485
42	109	2437
43	111	2432
44	114	2428
45	114	2383
46	115	2347
47	116	2314
48	117	2278
49	118	2252
50	119	2232
51	120	2200
52	121	2168
53	122	2140
54	123	2114
55	123	2084
56	124	2058
57	125	2034
58	125	2007
59	126	1983
60	128	1976
61	129	1953
62	130	1935
63	130	1911
64	131	1892
65	132	1871
66	132	1850
67	133	1830
68	134	1809
69	134	1791
70	135	1773
71	136	1755
72	136	1738
73	137	1721
74	138	1707
75	139	1692
76	140	1678
77	140	1664
78	141	1650
79	144	1661
80	145	1649
81	146	1638
82	146	1622
83	148	1614
84	148	1601
85	150	1603
86	152	1596
87	153	1588
88	154	1579
89	155	1569
90	156	1561
91	157	1556
92	160	1560
93	162	1569
94	163	1561
95	164	1549
96	165	1538
97	165	1527
98	166	1516
99	167	1505
100	168	1497
101	168	1484
102	169	1476
103	170	1468
104	172	1466
105	177	1497
106	179	1497
107	181	1496
108	183	1502
109	185	1502
110	186	1493
111	188	1492
112	190	1491
113	191	1491
114	192	1484
115	193	1473
116	194	1469
117	196	1469
118	199	1477
119	200	1471
120	202	1474
121	204	1469
122	207	1479
123	208	1476
124	210	1474
125	211	1466
126	212	1459
127	213	1456
128	214	1449
129	216	1446
130	216	1438
131	217	1433
132	219	1430
133	219	1421
134	221	1420
135	222	1414
136	223	1408
137	225	1409
138	226	1403
139	227	1397
140	228	1389
141	228	1381
142	229	1373
143	230	1367
144	230	1361
145	231	1356
146	232	1351
147	233	1346
148	234	1339
149	235	1333
150	236	1328
151	236	1320
152	237	1314
153	238	1310
154	239	1308
155	252	1365
156	254	1364
157	255	1360
158	256	1358
159	257	1354
160	258	1347
161	259	1344
162	262	1345
163	263	1341
164	263	1335
165	264	1330
166	265	1325
167	266	1319
168	267	1314
169	268	1311
170	269	1305
171	270	1300
172	270	1295
173	271	1289
174	272	1283
175	273	1278
176	273	1273
177	274	1267
178	275	1263
179	276	1257
180	277	1254
181	278	1250
182	279	1249
183	281	1249
184	282	1243
185	282	1237
186	283	1233
187	284	1227
188	284	1221
189	285	1219
190	286	1215
191	288	1212
192	288	1208
193	290	1207
194	292	1205
195	292	1201
196	293	1197
197	294	1192
198	295	1188
199	296	1184
200	296	1180
201	297	1176
202	298	1173
203	299	1170
204	300	1166
205	301	1161
206	302	1157
207	303	1154
208	304	1152
209	305	1148
210	306	1144
211	307	1141
212	307	1137
213	308	1132
214	309	1128
215	309	1124
216	310	1120
217	311	1117
218	313	1117
219	314	1113
220	315	1110
221	315	1106
222	316	1102
223	317	1098
224	318	1095
225	318	1091
226	319	1088
227	321	1088
228	323	1088
229	324	1086
230	325	1083
